text,label
naiyak nalang ako gago hinintay ko yung part niya na matapos sa ilang linggo tapos sinend sakin yung sinend ko sa kaniya na sagot ng participant ni copy paste niya yun,0
pag walang teleprompter kung ano lang sasabihin niyang tanga na yan,1
sandali nawala ulol ko sa taekook,0
hindi ko talaga alam sa mga tao na gumagamit ng pictures ng iba eh wala ba kayong pagmumukha hindi na kayo nahiya pakshet kayo,1
pucha muntik akong atakihin sa puso nung nagseen si maam lol thank you po,0
tangina bakit haha may sumpa ba ko haha,0
ilabas niyo nalang nagastos ng nanay niyo na isa ring ulol,1
talaga ba rara ulol,1
gago anlakas naman ata nun,0
hindi binabawi ko na hindi ako tanga ok kasalanan ng google keep yon ayaw mag sync,0
uy hindi ah ano ako ulol haha tarantado ka talaga kalbo haha,0
hindi ba mga tarantado eh,1
kupal niyo masyado porket malakas kayo,1
hindi masagot ng kasama mong tanga kung sino nag replica ng picasso painting,1
nakakaubos ng pasensya tong esign na app galing school amputa sa sobrang inis ko nahampas ko cp ko nang di ko narerealize na naka suot pala singsing ko puta buti di nabasag,0
kiss muna pakyu,1
haha syempre di ako nakakalimot tangina mo pa rin,1
ggx mamaya na kayo dumating ha maliligo lang haha punyeta ang tagal kasi,0
putangina ngayong birthday ko pa talaga umulan,0
pucha naman agnes,0
punyeta kayo deserve na deserve po mga mamsh,1
puta saan kayo malakas lang malakas kayo puro fake news ibalita,1
sa puntong ito ang pagsabi ng bagay tulad ng sakalin kita diyan sasapakin kita and the like arent effective anymore kasi masokista na kayong lahat tangina,0
ang plastic mo pakyu,1
tangina mo bobo,1
fuck wag kang sasabay sa thoughts ko ngayon punyeta gumagawa ako assignments bungol,1
haha maniwala tanga,0
mahal din kita sei kahit tarantado ka minsan,1
pakshet wag po bading ako,0
oh hindi ba tarantado ka talaga haha,1
tangina laking kahihiyan yun haha joke love you,0
parang tanga haruto haha,0
deserve mo yan sis mayen tanga ka eh,1
bobo nito oh tanga ka par,1
lakas mo magaya pinag antay mo pa sabay mag leleave ka gago ka ba,1
naririndi nako sa mga bwiset na ganto nag try ako sa gcash mga non gcash user hm mauutak din ha,1
gago lord teka what the fuck putangina niyo gago tarantado punyeta hayop animal putangina,1
puta iniiyakan ko concert videos ng bangtan ngayon,0
manahimik ka nalang bwiset,1
tapos na maliligayang araw niyo gunggong wala ka na sa pwesto talo kayo bobo,1
putangina mo naman patahimikin mo na itong post ,1
gago ang sakit sa pinas pa lang ba meron bakit wala pa sa akin,0
grabe naman ulol na talaga ako sa dalawang p ngayon,0
gago bakit ganon init ng hangin ng fan ko,0
wala nga kasing alam bobo ka ba,1
gabi gabi na lang ba ako makakarinig ng walang sawang pagalit galing sa inyo haha drain na drain na ako ulol ,0
introvert na ginawang leader pucha nag jojoke ba kayo,1
mukha nanaman akong ulol kakangiti dahil sayo aba aba haha,0
tapos magrereklamo ka kasi gusto mo nang mawala yung sakit gago ka pala eh tarantado amputa balimbing,0
laki ng noo mo pero ang tanga mo,1
putangina talaga ng mga ito,1
lagi kong nakakalimutan na tarantado nga pala si jeonghan haha,0
ito nanaman ako tangina,0
pakshet ang sakit niyo,0
napanaginipan ko si yunjin my love pakshet ang ganda,0
nahulog phone ko sa mukha ko tangina yan,0
game kase tarantado rin keyboard ko,0
gago may pa yan tas pinasa mo nung june loko,0
kasi bobo rin pangulo ng USA ngayon si biden,1
tapos may iba naman kahit malayo sayo biglang bubusina nang malakas ang mga tanga,1
ay gago ayan na,0
nag stupid reason pa ako sa kaniya puta ang sakit sa kaniya noon tapos hinintay pa niya reply ko gago amputa,0
atleast hotdog masarap ikaw puta na nga ang asim pa,1
kupal ka hindi nararapat kay ate zeinab at baby biga ang lalaking katulad mo,1
sabi ko magascend na ako kapag natapos ko na natitirang quests ko sa inazuma kaso tinatamad pa ako pucha,0
talagang tarantado si van i pati sya nakikidede kay klio,1
ulol pag ako nagkaron ng abunjing abunjing who u ka sakin,1
bakit ka ba gago,1
ganda ni nayeon putangina,0
dami nagagawa ng pera tangina pagawa mo na mukha mo para di nakakahiya sayo kahit magcheat kang kupal ka bagay kayo ng kasama mo bayaran,1
ulol di ka na mareach,0
ang hirap magpa rank up haha nakaka ulol,0
tangina pinagtulungan niyo pa ako magjowa ha pakyu,1
sabi ko gagawa ako ng reviewer ko for els puta wala pa ako sa kalahati ng lesson yung pagiging procaztinator ko pa lumalabas ulit,0
tangina kung pwede lang mag back out sa paluwagan gagawin ko eh mawalan lang ako communication sa inyo,0
pakshet ang gagwapo,0
tangina bobo bakit kasi birthday ng kaibigan ko nilagay ko dun,0
meron na akong plot sa au kong hajeongwoo pero di ako marunong mag prompt pucha kung ano man tawag doon sa intro chu chu,0
haha baka bilyon nako mapagpanggap talaga napaka sinungaling pa palibhasa presidente halal ng vcm lang yan kupal na yan,1
james natapos ko siya ng days at iniyakan ko yan pakshet,0
di ba parang mga asong ulol ang mga yan bigla na lang mananakmal haha,0
tarantado hindi mo ba binasa notes at saka tags,1
pickaw ang asim mo baliw pakyu,1
puro louisse nanaman naririnig ko sa pamamahay na to putangina parang ako lang anak,1
magdrodrop na ba ako hala pakshet,0
pucha ka talaga kapatid nabalik na naman ako sa academic stress phase dahil sayo,1
tangina niyo,1
bobo anong walang mawawala iggive up mo nga scholarship mo eh,1
pakyu shoppe birthday niya na bukas please lang,1
ulol na ulol na po ako,0
gago ka kailanman hindi pinagpapala ang ganyang uri ng tao wait ka lang ng karma mo,1
wala akong macaption pakshet,0
gabing gabi na natagpuan nanaman boang si wacky tarantado ka beh iyak lang ah bakit may ganyan,1
ay oo pala noh bobo ko sa part na yun tangina sa gabi nanaman magwawala parang niloloko nalang ata tayo ah,0
kairita naman lahat hindi na ako nakapagbreakdown nang maayos tangina,0
pucha ang dami dami ko na napanaginipan tapos mins palang pala akong natutulog taenang body clock to,0
gago yung lalaki namatok sakin nung class picture di man lang nag sorry,0
bwiset na araw toh lahat ng kamalasan nang yari sakin punyeta muntik pa mabangga,0
tangina sakit ng ngipin ko,0
anak ng pucha,0
tanga hindi ko mauubos itong ten kilos fresh from bicol,1
tangina ayaw ko na mag aral talaga bakit ganun,0
haha tarantado kamo sila,1
nakailang remix na ko niyan pucha,0
pag ako naspoil sa greys anatomy ha bwiset,0
cute cute si kuya klint magtanong ah bwiset haha,0
ito na ang adamson pucha tinrabaho talaga nila,0
ulol magreview ka nalang te,1
punyeta shiniship ako ng mama ko kay rets,0
pakshet naman late na ako,0
please lang putangina mo layu layuan mo girlfriend ko,1
epal tlaga ng mga tao sa omegle where u from beh nakalagay na sa interest beh bobo k,1
i volunteer na lang sa gustong gawin ni cinco pakilubog yung kupal na yan hanggang sa di siya makaahon,1
kinikilig ako na kinakabahan tangina mo gago animal hayop tarantado,1
bobo na magulang minana pa haha,1
kunwari di ko alam haha bobo,0
gago haha talino mo beh,0
tangina ka mas nakakadiri pagkatao mo tanga ka nga bobo ka ba sa ugali ka na nga lang babawi negative pa aba putangina ka diba,1
sino ang special guest pakshet,0
educate your fans naman minsan nagiging ulol na aso,1
umay naman ang sakit na ng dibdib ko pucha,0
perfect na sana tong the cabin chuchu wala lang internet mga bwiset na to nagdala pa akong laptop,0
deserving naman kahit gago pakyu ka,1
kupal gagoals daw kami,0
ang sakit sakit nyo haha nagiging hadlang talaga sa kasiyahan ko putangina naman,0
sakit ng ulo ko pucha,0
gago ang cute ng circus music video,0
tarantado talaga yang bf mo pag ako bf mo di kita gaganyanin,1
oh talaga ba may hiniram ba ako haha asan hiniram ko ulol,1
pucha ilang beses ko na pinanood haha,0
wow complete na makeups ko pero gamot ko sa allergies wala pa tanga yarns,0
naiisip pa kaya ako ng tatay ko hayop ka nagpunta ka pang pilipinas noon nung inuwi ako ng nanay ko from hong kong tapos bigla ka na naglaho tarantado ka,1
pre pakyu ka pre bawal,1
ulol ka po,1
tarantado yan eh haha,0
shit punyeta kaya ko ba itong computational data science,0
putangina mo ayos lang naman samin ang mayabang wag lang sinungaling hayop ka dinamay mo pa yung babae para ikaw magmukhang api pakyu pa victim,1
tanga nagdelete ng tweet dapat panindigan mo kakapalan ng mukha mo tukmol saan ka pinagpala may maiiyot ka na pokpok evey minute happy na yarn,1
putangina may gagawin pa pala ako nakalimutan ko pakshet,0
wala kayong ambag sa pag papaaral sa akin dahil sa scholarship ko iyan mga tanga,1
dont be surprised much dahil sa pambubudol nauso at kung ano ano pa din ng mga ulol,1
pakyu pag ako nanalo talaga sinasabi ko sayo dejoke malabo to,0
pag ako nabwiset mag girl in the mirror nalang ako punyeta,0
paano ba naman sasabihin naka bili na ng ticket tarantado boi sa sabado na yung concert haha,0
punta nga pala ako office pucha haha,0
tinuring niyo na trio pero kayo kayo lang naman palagi magkasama haha pakshet,0
parang tanga ang mga puta haha,0
never again ninjavan bakit pa kasi yan ginamit punyeta nanghahagis ng parcel,0
tangina pagod na pagod ako hayop,0
kahit j nagsisimula pangalan mo ill take the risk haha kasi pucha lahat nung nabanggit ko j pangalan nila ayoko nalang mag name drop haha,0
tangina ni sam lalong pinalaki yung gulo,1
tangina ng kidlat gago tarantado,0
tangina mo umurong luha ko beh,1
oo tapos kupal ka,1
ulol lalakero si vhong,0
basta maka marcos napaka bobo talaga marami dilawan,1
lakas mang judge ng tao eh ikaw din naman nagpapatulog ng lalaki dito hindi mo rin naman asawa tanga ka,1
bobo ka ba,1
bwiset ka bakit anong mali saken,1
pucha may ko pa pala sinimulan yung southeast asia tapos ngayon ko pa lang ata matatapos tapos di pa sure,0
haha gago nakalimutan ko na parehas pala username ng tweet ko at ang instagram ko,0
lutong naman ng ulol ni nick tangina,0
pangit muna bobo kapa haha parang walang anak ah lakas ng loob mo boy,1
puta ang panget ko gumanap tangina mo paul,1
pakshet hindi nanaman ako makatulog,0
tangina may finollow nga ako ngayong gabi ikaw yun,0
bobo ni wella magluto bobo ka wella haha,1
putangina siya na nga naunang nanggulo sakin ambagal pang magreply tapos ang tipid pa pakyu kinnam di mo alam kung gano kahalaga yung oras ko na sinasayang mo lang,1
sobrang pangit ng gising puta,0
putanginang pinsan toh pakyu animal tangina mo kunin kana sana ni satanas hayup,1
di ako mag aadjust sa ugali nyo pakyu,1
pakshet bobo wrong account pero ayos lang,0
manahimik kayo mga pucha may di pa nakabasa dito oh,1
ang pogi pakshet,0
paano kung bilihin niyo muna ito para sa akin tapos babayaran ko sa june pakshet na ebbg ito eh,1
yan ang naituro nang fake news sayo kawawa ka naman parang sinabi mo na may alam pa albolaryo sa doctor kawawa ka sa paniniwala mo hayaan mong talo kami importante di kami tanga tulad mo,1
akala ko vacation na haha chariz gago kasi bakit wala pang gawain,0
isa ka pa tangina mo,1
inabot ng bago magreply pakyu ka tangina mo,1
simula march hanggang ngayon tangina bali ang bilis kong magalit masuntok agad haha ayaw ko ng ganito,0
option gumawa ng sarili mong kape sis i dont love people making random small talk with me either pero tangina tao kaharap mo hindi halaman o makina sabihin mo na lang na kupal ka and call it a day,1
gago yung lead recitation yung attendance haha pakshet mali mali pa sinasabi ko,0
putangina ka din,1
kupal kayo mga puta,1
kai what if iaccept mo ako sa private mo pakyu,1
tarantado na pala ako ha,0
memories bring back memories bring pakyu haha,0
daming kupal ngayon haha,0
isa pa yan si mona tarantado rin iyan haha,1
ano yung pakshet,0
lord hindi ko maalala na nag sign up para sa nakaka bwiset na kuya,1
haha putangina naview ko nanaman yung featured ni mochi na kakaupload palang just now sana wala pong way para malaman sino nagviview ng featured thanks facebook,0
bobo kasi kayo isa sa rason bakit nagmahal ang bilihin kasi tinataas din ang tax para mabayaran ang trillion utang na ibinilin ng mga unithieves di lang sa war ng russia gunggong antay ako sa bente pesos na bigas.,1
tanga magresearch kayo,1
tangina si ray lang yan ah,0
ang kupal mo hayop ka,1
dinodogshow na naman ako ni kline at shelsea pucha talaga kayo,1
punyeta talaga kayo pldt hanggang ngayon wala paring net,1
okay lang yun ang mahalaga tanga ka,1
bwiset naman ah,0
azi tarantado ka sarap mo saksakin sa tagiliran,1
bwiset bakit ako naiiyak dahil sa rerecord ng flags,0
nakakainggit naman yung mga grumagraduate bakit kasi sa october pa kami bwiset,0
tangina ang sakit ng ulo ko,0
pakyu ka rin,1
sakit na ulo ko punyeta,0
malay ko ba sorry bobo lang,0
ulol yun yung binigyan ko ng bondpaper na babae sa likod ko last week mabait kasi ako mana sayo haha,0
parang tanga ka jan lodi,1
maganda ka lang pero bobo ka,1
putangina mo bio akala ko tapos na tayo nung grade eight ako,1
gago nag amin na agad siya haha,0
pakshet ang gaganda at pogi niyo,0
kung may problema ka eh sa direct message ka tanga sa sayout ka lang magaling eh,1
ulol bobo ka,1
parang sign na din para bilhin ko yung pc pucha haha,0
bro ka ng bro tangina mo mas tanga ka pa nga sakin lalo na kapag lutang ka rin,1
haha balik sa dating spot dahil kupal ang new generation mga bobo naman,1
abay tangina mo wag sa shared post ko beh,1
putangina talaga gago tangina naman bumagsak pa ako,0
eto nanaman puso ko parang tanga haha,0
ang hirap maging bobo,0
tangina mo gago putangina ka,1
bobo kaba pa flex pa kayo sa sales niyo eh sa overall lang naman kayo nag million sales haha,1
kapatid ko talaga sumusubok ng pasensya ko punyeta,0
pucha every month talaga sabay sabay mga bayaran,0
gago na iimagine ko pag seventeen na papunta dito before gustong gusto ko pumunta din sa airport pero ngayon hahayaan ko nalang sila,0
pascroll scroll lang ako pucha di pa pala ako nagrereview,0
kung di mo gusto yung kanta o yung chorus wag mong sasabihin na pangit tarantado ka pala eh,1
di rin matiis ni tanga,1
gago bakit ba dumaan sa news feed ko yung video ni ser geybin,0
pakyu kayong lahat nginig bituka ko,1
nagsisisi na naman akong nakipag swap ako ng oras napaka aga putangina,0
punyeta ka tangina mo kainin mo ng buo yung picture,1
pakshet ka din reynold,1
tangina mo wag mo na isend sakin convo niyo gago nang iinggit pa ang puta,1
sarap ng higa sa court puta haha,0
lakas makasabi ng move on doon ka sa magmove on sa impyerno tanga nangloloko ka gago,1
pakshet naman,0
tama ka nuh pakyu haha,0
pero teka lang gago ang hot ni changbin so much sa music video ugh,0
tarantado si raf inaway yung pabida eh,1
putangina naiiyak na ako ang pangit ko na nga ang dami ko pang gawain,0
bobo mo kak,1
ayoko na gago haha,0
mahal na mahal puta,0
putangina mahihimatay siguro ko pag ganito,0
bakit mo nagawa sa pinsan ko yun tarantado ka,1
alam mo yung mainit yung ayaw tumuloy ng ulan napaka alinsangan pucha,0
puta ka jae haha bwiset,0
bobo kaa,1
imagine buying extras para mabenta ng overpriced tapos yung iba bibili hindi naman fan pag tinanong mo sino members si jaehyun lang o taeyong isasagot sayo ulol magsilayas kayo bwiset,1
kupal jerome napahanap tuloy ako ng mga requirements ko nung first year akala mo talaga ngayon ako gagraduate ending may nakita lang akong love letter haha,0
alam ko gago ka,1
wala ulol haha,0
putangina ka gago,1
grabe kung nakabukas lang comments ni yoongi sa instagram baka tumahol nako eh kasi pakshet ang pogi niya,0
gusto ko ng ipad pucha naman kahit second hand oh,0
haha kung public train sana yun pucha sarap,0
gago sure na ba kayo diyan,0
tarantado talaga pag oras ng klase eh,0
wala na kong pera gago,0
bwiset ka aki,1
bakit parang ang bobo ko po ngayon,0
bobo mo naman,1
oo na tanga,1
pakshet ang pogi talaga ni wonu goggles,0
punyeta sana pala di ko nalang inupdate twitter ko,0
haha tangina niyong lahat,0
shot puno lasing si kupal haha,0
ayoko manghimasok bahala kayo tanga haha pagkatapos mo saluhin lahat ng tweet ko do you think na tutulungan kita para malaman dummy account ng boyfriend mo finollow kasi ako sa second account ko eh haha basura,1
tanga ayan ba sinasabi niyong mag bestfriend at hindi mag jowa iuntog ko kaya kayo,1
tangina balikan mo na kasi ako naiingit na ako sa kanila,0
itong pinsan ko maka reklamo na maliit yelo tarantado ka baka gusto mo sapukin kita zonrox putangina mo,1
at proud ka pang kupal ka kapal ng mukha mo ha mukha ka na ngang ipis lakas mo manggago ulol,1
tarantado anong klaseng laruan yun,0
kakain muna ako bago ko sagutan tong math na ito bwiset,0
wawa try harder kakampinkong salot hanggang sa mamalimos na lang kayo bobo,1
pero putangina bakit naman umorder ako trenta piraso,0
ang bobo nila kausap lahat,1
buhay na buhay sa chismis haha tangina talaga ng mga tao sa compound,1
yung crush ko punyeta girlfriend na ng kaibigan ko,0
ikaw nga emoji warrior at tarantado,0
pakyu sa mga umubos nung piattos ko,1
pucha beh iba na nararamdaman ko sayo ah haha,0
putangina mo wala rin siyang pake sayo pakyu,1
ang tamis pucha,0
isang troll na naman ang natagpuan sa twittter at ikaw yun tanga ka,1
done na puta need lang pala wag bilisan,0
punyeta kahihiyan pa ata ako dito sa valo ah,0
panay kaartehan bwiset ka junard,1
saktong sakto punyeta haha,0
gago para tayong magnnew year countdown bente na si belle,0
chinggay nakaka ulol ka na po,0
hala putangina si justin nagsuka sa paa ko bwiset,1
sabagay bobo na malibog si bongbong as in bobo haha,1
aya ng aya mga ulol ay takot naman sa alak pag andon na magccp lang haha,1
kupal ring at its finest pero hindi namin siya binili magkasama tf,0
kung anong lapit ng terminal ng bus sa bahay sa infanta siya namang layo sa maynila puta legarda to project,0
kung hindi mo maisend yung sets pc sakin refund mo ko pakyu bitch,1
puta ang hina ng wifi,0
tangina niyo ano kailangan graduate para matanggap sa trabaho yung isa nga diyan presidente pa mga pakyu kayo,1
yes haha pucha,0
ulol tangina mo wala akong paki kahit sino ka pa,1
tangina mong gago ka edi waw ikaw na ikaw na punyeta ka hayop kang gagong puta,1
haha sinabihan ako ni pwinsesh may space na daw sali ako gago sasali naman talaga ako eh,0
tangina wild haha,0
kinagwapo mo yan sayo talaga nanggaling eh diba dapat role mo yon hambog kang puta ka,1
limang copies lahat ginawa ko simula kahapon pa tapos ngayon lang lahat natapos dahil lang sa pakshet na pagpapa notarize at pag print ng picture sa photo paper,1
tangina niyo try niyong landiin mag aabugado ako madali lang icoverup kung nasaan katawan niyo,1
tarantado sandali akala ko tapos na,0
tanga bobo lang ako kung naging type kita kadiri,1
punyeta hiro akin ka nalang i swear aalagaan kita hot niya talaga,0
tangina mo kasi eh,1
bwiset isa ka pa joshua,1
tanga ka eh,1
mga pakshet kayo wala kayo karapatan,1
sakit sa eyes yung japanese machine translate putangina ,0
novdec sana dream con or kaya feb haha puta kapal ng mukha mag demand kala mo walang acads,1
aray putangina po,0
sang ayon ako na bobo siya marami kasi evidence at siya mismo ang nagkalat kay bbm sa loob nang walang evidence kaya nga nanalo marunong sa math,1
gago tawang tawa naman ako dito napakagago haha,0
flexing the girl without knowing na nag blooming zeb nung nakawala sa kamay mong kupal ka,1
baka tanga ka,1
haha puta kayo,0
tangina niyo nag ibang bansa nanaman yung mga pinks bago pa maannounce yung comeback pakyu ka talaga hayop ka tangina mo,1
kaya nga puta karat tapos sakit pa mangagat,0
gago may maganda dito,0
ano ba ito tangina,0
tarantado ka ilabas mo na ulo mo wag lang si jaehyuk pag yan nahulog gago ka,1
tarantado ba kayo,0
napaka baboy mong nilalang putangina ka,1
ekis sa mga mangiiwan mga pakyu kayo ayoko na,1
bilis mo pakyu haha,0
six years tayong dodogshowin ng mga kampon ng administrasyon pucha naman oh,0
ikaw ang kulang sa aruga hindi talaga tayo magka level tanga ka eh imagine nag aral hanggang college tapos sa tiktok video ka lang maniniwala ang tanga tanga mo,1
haha ok natapos din kupal,0
tangina gheeno,1
bwiset tong pinsan ko porket di ako makatayo sinisilip ako at tinatawanan while nag ccr kainis,1
mag sisipag pa naman sana ako ngayon kaso pakshet itong laptop,0
masasakalin kita talaga sa lunes puta ka,1
tangina bakit ako,0
ulol hindi na tungkol sa kaniya ha,0
mood pakyu kayong lahat,1
kasalanan mo ito gago,1
tatlong oras kitang kasama punyeta ka tatlong oras din yung pag papasensya ko sayo,1
puta yung flower,1
sana di mag delete ng views yung youtube kasi magagalit ako mga punyeta sila,1
ang galing ni miner kaso pucha nakatulog ako kakanood,0
tarantado buhay na nga eh haha,0
nakakasira talaga ng araw pag may mga kupal na clients bwiset,1
hoy ano ba kasi yung malakas na parang sumabog sa labas kanina dito sa malolos tas may mga ambulance na sa labas gago akala ko ba kulog lang yon,0
puta naman haha,0
excited si justine puta,0
congrats pa din pero kadikit na ng kupal couple ang panloloko nila,1
huling dalawang linggo na lang yung the broken marriage vow tangina wag muna,0
gago tangina yung panaginip ko pakshet,0
humihilab sikmura ko punyeta,0
ulol tangina niyo,1
tanga tapos na,1
sarap mo pisilin kupal yiee haha,0
putangina mong gago ka sasakalin kitang ulol tarantadong hayop punyetang gago,1
tarantado ka kung sino man yun,1
mga tarantado na driver,1
sa ex ko sana naghihirap ka ngayon haha deserve mong puta ka,1
nakakairita si jill bwiset,1
study well daw ulol samahan mo ako dito magsstudy well tayong dalawa,0
ayaw ko na magbasa ng angst tangina mo cyrus pakyu,1
hays puta nagloloading pa utak ko,0
ulol magsama kayo parehas kayong idk basta,1
gago haha ulol na naman ako sa au character tangina hari choi,0
mula nung lumipat ka naging kupal ka,1
joke lang yan tanga strong independent ito noh tsaka hindi ako umiiyak gago ka ba gwapong gwapo ko tapos iiyak ako,1
ang lamig lamig putangina,0
ulol ka beh wag mo kaming pinaglololoko,1
haha bwiset ang kalat,0
tanga sobrang demonyo ka lang talaga,1
gusto ko lang naman matulog pucha kaso maingay,0
kupal na mga pulis,1
tangina mo gago,1
sayang talaga bobo tanga gago ko,0
tangina mo cy gago ka,1
hoy kanina ka pa daan nang daan sa timeline ko di ko na lang pinapansin kanina pa ako naiinggit punyeta,0
uwi na nanay ko punyeta kayo,1
tanga ako sobra,0
tangina nalulungkot pa rin ako sa last part nung padaan ni gmac pari haha,0
chat palang yon nanginginig na kamay ko bwiset ka talaga jim ashley,1
ulol jason kala mo matangkad ka,1
nasa araneta na si louis tomlinson pakshet sana makakuha na ako this time,0
kaya siguro ang bobo ko,0
gusto ko rin maranasan maging chismosa kaso ako palagi topic nila punyeta,0
putangina niyong lahat gago punyeta,1
mas tanga at bobo ang nanay mo kasi nag kaanak siya na kagaya niyang boba sabihin mo sa mama mo kamo ma wag kang bobo kasi sa nagiging bobo di na ako kagaya mo,1
ang kapal mo leche ka pakyu gago tangina mo fuck off haha,1
tapos sasabihin niya kasalanan ko edi tangina niya kala niya ka ang gwapo niya,1
punyeta hindi ko mapinned yung nsd ko,0
bakit ang mahal mag grocery pakshet,0
puta grabe siya,1
pucha ang sarap,0
pogi ni hoon gago,0
kupal ka dapat sa iyo minamartilyo sa mukha,1
oo gago alangan naman i ghost kita,0
ang ganda ni eunchae pakshet,0
sobrang landi niya mas malandi pa yan kay andrea dami mong lalaki sayang lang kapogihan ni seth sana pag katapos ng project niyo ipartner na si seth sa iba wala siyang mapapala sa francine na yan landi masyado punyeta,1
ayoko ng gantong pakiramdam puta,0
gago seryoso ako,0
tangina yung kaba ko ano bah,0
ako nalang gago lagi,0
kapal ng mukha mo gago,1
pakireport yung bwiset na si yin,1
tanga huwag kang tatalon mataba ka tatalbog ka lang,1
nakakadala pababa eh puta,0
hoy parang tanga hindi ba dapat masaya tayo bakit nagpapaiyak kayo,0
haha hindi ko kinaya yung pang barangay daw tira ni pins haha pucha,0
ulol ka,1
ulol kambing masamang kambing ka,1
alam kong ang tanga ko sa part na yon pero go sige,0
haha putangina microsoft word,0
tangina naka ban pa din,0
sandali nga putangina ang lalabo,0
gago kakagaling lang ng lalamunan ko masakit na naman candy at alak pa,0
punyeta yung binilhan ko ng palamig hindi man lang sinabi na walang yelo kaya pala tingin nang tingin sakin ampota,0
ikaw ba ang puta sa putangina,1
puta ayoko na direct message limit na naman ako,0
makatapos lang ako college dahil sa scholar hindi dahil sayo kupal,1
gago di ko naman inexpect pero sige isa kayo pag may pera na ako kaso matagal pa yon haha bookmark ko to ha,0
hindi daw ako scammer ulol gago haha,0
tarantado haha laptrip ang lower niyan beh wag na balakin,1
bobo na ata ako,0
sana magkamanager na ako kasi yung kabog ng dibdib ko dahil puro director ng company namin yung lagi kong kausap medyo nakaka ulol na po,0
putangina baka wala pa ako sa pinas nito,0
nandito ako bilang sugar mom mo tanga ka ba,1
direct message limit nanaman ako dito sa twitter putangina,0
gago ako nanaman nanonood lang ako sa tiktok eh tawang tawa ako,0
badtrip tangina bakit ngayon pa,0
alam niyo putangina niyo naiiyak na ako huwag niyo paglaruan nararamdaman ng lahat i swear nangangatog na ako sa kaba mga puta di ko naman birthday shuta inaano niyo kahinaan ko mga yawa naiiyak na ako gago kayo,1
